train_acc,train_loss,val_acc,val_loss
0.03511578947368421,4.306111,0.0644,4.063341
0.06606315789473685,3.9928315,0.08399999999999999,3.853954
0.10242105263157895,3.7898176,0.1072,3.7186193
0.14964210526315788,3.5331252,0.19080000000000003,3.2935326
0.18978947368421054,3.3094182,0.1892,3.331425
0.22534736842105266,3.123601,0.23559999999999998,3.0490625
0.2607578947368421,2.9282486,0.29560000000000003,2.731104
0.2906526315789474,2.7756312,0.25,3.0976713
0.31684210526315787,2.6474633,0.33240000000000003,2.5626462
0.34159999999999996,2.516525,0.3559999999999999,2.4536572
0.3594526315789474,2.439964,0.3096,2.834138
0.38021052631578944,2.3442552,0.39759999999999995,2.2577035
0.3988,2.2627182,0.37360000000000004,2.4169426
0.40677894736842113,2.2122498,0.3712,2.3536723
0.426821052631579,2.124494,0.4376,2.0639584
0.43600000000000005,2.0758834,0.37,2.4590344
0.4482526315789474,2.0307941,0.45039999999999997,2.02307
0.4662315789473684,1.9549358,0.4632,2.0060685
0.46888421052631574,1.9296544,0.4168,2.2048714
0.4819157894736842,1.878354,0.48560000000000003,1.9024479
0.492421052631579,1.836764,0.4503999999999999,2.0517833
0.49667368421052627,1.8131679,0.4456,2.0278535
0.5123157894736842,1.7532827,0.5044,1.8072411
0.5156,1.7380005,0.4292,2.2264855
0.5233684210526316,1.7007116,0.5052,1.7844002
0.5355789473684212,1.6506419,0.5168,1.7677504
0.5335578947368421,1.6522284,0.45280000000000004,2.0925105
0.544442105263158,1.6052884,0.5384,1.7015474
0.5526947368421053,1.5747355,0.49879999999999997,1.8969815
0.5525684210526316,1.5751568,0.49920000000000003,1.845381
0.5643157894736841,1.5331296,0.5388000000000001,1.6513867
0.5675157894736842,1.5156134,0.4828,2.0199773
0.5720631578947367,1.5062485,0.5347999999999999,1.6592201
0.5805263157894737,1.4724625,0.5484,1.6444621
0.5810105263157895,1.4671212,0.4736,2.0818841
0.5870736842105263,1.4378012,0.5524,1.6070161
0.5910947368421052,1.4159609,0.5207999999999999,1.828144
0.5897894736842105,1.4222875,0.5347999999999999,1.711491
0.6021263157894736,1.3819071,0.564,1.5842804
0.604021052631579,1.3786886,0.4928,1.9592444
0.6032842105263159,1.3691651,0.566,1.614114
0.6118315789473684,1.3355203,0.5596,1.6167084
0.6094526315789474,1.3459028,0.5071999999999999,1.9389201
0.6186736842105264,1.3114892,0.5735999999999999,1.5649699
0.6237684210526316,1.2995528,0.5176,1.7846221
0.6224210526315789,1.3007857,0.5136,1.8010541
0.6294315789473685,1.2696328,0.5751999999999999,1.5295967
0.6306947368421053,1.2681793,0.494,1.9763446
0.6292,1.266856,0.574,1.5689038
0.6386947368421052,1.2344524,0.5764,1.5919995
0.6386947368421052,1.2424666,0.5064,2.0369875
0.6404,1.2206573,0.5711999999999999,1.56919
0.646778947368421,1.2109832,0.5512,1.6978372
0.6434315789473685,1.2123625,0.5452,1.7789983
0.652778947368421,1.1785153,0.5876,1.5411577
0.6516,1.1825683,0.5451999999999999,1.7359372
0.6525473684210527,1.1771042,0.5824000000000001,1.579597
0.6613052631578947,1.1567312,0.5796,1.5832901
0.6584631578947368,1.1666623,0.5204000000000001,1.9267203
0.6622315789473684,1.1464158,0.5763999999999999,1.5357322
0.6661052631578946,1.1277926,0.5512,1.7476648
0.6637894736842105,1.1333929,0.5588,1.7163634
0.6675578947368421,1.1178592,0.584,1.528011
0.6689052631578948,1.1150998,0.5472,1.7384925
0.6672421052631579,1.1138734,0.5771999999999999,1.6040441
0.6741684210526316,1.0920739,0.586,1.5619626
0.6738526315789474,1.0998242,0.5312,1.8643879
0.6771578947368421,1.0837344,0.5864,1.5596194
0.6828631578947368,1.0680878,0.5603999999999999,1.7659813
0.6780210526315789,1.0781779,0.5771999999999999,1.6904814
0.6829263157894736,1.0531828,0.5976,1.4751891
0.6864421052631579,1.0503557,0.5404000000000001,1.7805792
0.6832842105263158,1.0521221,0.5803999999999999,1.5741757
0.6913052631578948,1.0320388,0.5924,1.5853206
0.6859789473684211,1.0442953,0.5384,1.8145214
0.6922105263157895,1.025195,0.5928,1.5372273
0.6951157894736842,1.0168234,0.5608000000000001,1.744909
0.6956631578947368,1.0227458,0.5592,1.7818278
0.7007578947368421,0.99564904,0.5920000000000001,1.5236714
0.6966736842105262,1.0045171,0.5432000000000001,1.9226217
0.7013473684210526,0.9961587,0.5795999999999999,1.604754
0.7004631578947369,0.9900923,0.5876,1.5866482
0.7016421052631578,0.98814136,0.5184,2.0524373
0.7048842105263157,0.98189056,0.5976,1.5600678
0.7089052631578948,0.95456874,0.5680000000000001,1.6796631
0.7036,0.9789923,0.5528000000000001,1.7545276
0.7112842105263159,0.9573175,0.5952,1.5700629
0.7083789473684211,0.9563943,0.5516000000000001,1.8898857
0.7117263157894737,0.9470482,0.5852,1.6155839
0.7174526315789473,0.9319273,0.5932,1.6153929
0.7131578947368421,0.94312596,0.5356,1.9383876
0.7173473684210526,0.93041015,0.6036,1.5569338
0.7209473684210526,0.91574323,0.5788,1.7404736
0.717178947368421,0.9321422,0.5920000000000001,1.6875122
0.7226947368421052,0.91193366,0.5988,1.570397
0.7246105263157896,0.9044643,0.5452,1.862308
0.7202315789473684,0.91783476,0.5908,1.626666
0.7235157894736841,0.9013333,0.6012,1.5587198
0.7234526315789473,0.9020453,0.5651999999999999,1.7939154
0.7285052631578947,0.88841474,0.6040000000000001,1.5837555
