train_acc,train_loss,val_acc,val_loss
0.009600000000000001,4.609349,0.0104,4.607242
0.009326315789473684,4.6068563,0.0092,4.6065884
0.009747368421052631,4.606221,0.0084,4.606326
0.009621052631578947,4.6059957,0.0076,4.6067405
0.009894736842105262,4.6058884,0.0076,4.6068487
0.009157894736842104,4.605854,0.008,4.6074386
0.009536842105263158,4.605796,0.007200000000000001,4.6064878
0.009600000000000001,4.605741,0.0072,4.6065044
0.00936842105263158,4.6058245,0.0076,4.606773
0.00911578947368421,4.605722,0.007600000000000001,4.606493
0.009094736842105263,4.605707,0.007200000000000001,4.606755
0.00991578947368421,4.6056848,0.007200000000000001,4.6068745
0.01031578947368421,4.605694,0.0072,4.6067567
0.009494736842105264,4.6057673,0.0072,4.6070185
0.010273684210526317,4.605602,0.0064,4.607114
0.010189473684210526,4.605697,0.0064,4.606926
0.01,4.6056423,0.006400000000000001,4.6068516
0.009326315789473684,4.6055865,0.0064,4.607058
0.009305263157894737,4.6057224,0.008,4.6070385
0.010168421052631578,4.6056137,0.009600000000000001,4.6070833
0.009178947368421054,4.6057153,0.0076,4.606968
0.00936842105263158,4.605689,0.0096,4.606934
0.010168421052631578,4.605536,0.0084,4.606833
0.009242105263157895,4.6056395,0.0076,4.6071086
0.009136842105263157,4.6056333,0.008400000000000001,4.606721
0.009557894736842104,4.605589,0.0068,4.6069508
0.008421052631578947,4.605702,0.009200000000000002,4.606392
0.00934736842105263,4.6055694,0.0092,4.606715
0.009621052631578949,4.6056156,0.0072,4.6068482
0.009221052631578948,4.6056614,0.0072,4.606752
0.00936842105263158,4.605589,0.012,4.6070814
0.010147368421052632,4.6056814,0.012000000000000002,4.6066823
0.009642105263157895,4.6055636,0.0072,4.606722
0.009705263157894736,4.6055727,0.007200000000000001,4.606848
0.010147368421052632,4.6055994,0.0072,4.6072063
0.009600000000000001,4.6055007,0.007200000000000001,4.6072025
0.009536842105263156,4.6055427,0.0072,4.6072984
0.009578947368421055,4.6055717,0.0072,4.6073146
0.009452631578947369,4.605539,0.0072,4.607261
0.009936842105263159,4.605586,0.0072,4.6072316
0.009410526315789475,4.6055574,0.0072,4.6072273
0.009810526315789474,4.6055703,0.008,4.607135
0.009178947368421054,4.6056423,0.008,4.6071205
0.009600000000000001,4.605507,0.0076,4.6072702
0.009178947368421052,4.6055455,0.008,4.6071362
0.009873684210526314,4.6055083,0.006400000000000001,4.606911
0.010189473684210528,4.6055417,0.0064,4.607008
0.009494736842105262,4.6055765,0.0064,4.606845
0.009515789473684212,4.60549,0.008,4.607064
0.008905263157894737,4.6054945,0.008,4.6068916
0.009410526315789475,4.6054945,0.008400000000000001,4.6067667
0.01031578947368421,4.6054606,0.008,4.606991
0.009452631578947369,4.605495,0.0064,4.606739
0.009452631578947369,4.6055193,0.01,4.606629
0.00873684210526316,4.6054535,0.009600000000000001,4.606618
0.009073684210526317,4.6055346,0.009600000000000001,4.606392
0.009600000000000001,4.605556,0.009600000000000001,4.606741
0.009452631578947369,4.6055217,0.008,4.6074085
0.009873684210526316,4.605518,0.009600000000000001,4.6073527
0.010063157894736843,4.6054645,0.0076,4.607466
0.0096,4.6054597,0.0088,4.6073284
0.00976842105263158,4.605508,0.007200000000000001,4.6071043
0.009936842105263159,4.605475,0.0072,4.607095
0.009684210526315788,4.6054955,0.007200000000000001,4.607016
0.009389473684210526,4.6054645,0.0072,4.6070814
0.009452631578947369,4.605442,0.009600000000000001,4.6069827
0.009347368421052632,4.6055007,0.0076,4.607041
0.009263157894736843,4.6054497,0.0084,4.607047
0.00911578947368421,4.605506,0.0076,4.6069717
0.009747368421052633,4.6054816,0.006400000000000001,4.607031
0.009747368421052631,4.6054153,0.0084,4.6071
0.009368421052631578,4.6054716,0.0072,4.6070614
0.009663157894736842,4.605443,0.0076,4.607141
0.00970526315789474,4.6054535,0.0076,4.6071534
0.00983157894736842,4.6055045,0.0088,4.607236
0.009305263157894737,4.6054277,0.0076,4.60727
0.00976842105263158,4.6054597,0.0076,4.6072183
0.009747368421052631,4.6054482,0.008400000000000001,4.607115
0.009978947368421053,4.6054163,0.008,4.6069636
0.009473684210526316,4.6054616,0.008,4.6070414
0.009578947368421055,4.6054378,0.008,4.607158
0.009852631578947368,4.6054344,0.007200000000000001,4.6071033
0.009452631578947369,4.6054735,0.0072,4.6068196
0.00976842105263158,4.6054,0.0072,4.606699
0.009642105263157895,4.6054564,0.0104,4.606923
0.009642105263157895,4.605458,0.0104,4.60686
0.009326315789473684,4.6054068,0.0076,4.6069713
0.00934736842105263,4.6054544,0.0076,4.606983
0.00951578947368421,4.6054997,0.0092,4.607058
0.009557894736842105,4.6054473,0.0068000000000000005,4.60707
0.009326315789473684,4.6054616,0.008400000000000001,4.6069665
0.01008421052631579,4.6054287,0.009600000000000001,4.60698
0.010210526315789474,4.6054645,0.007200000000000001,4.6069036
0.010294736842105265,4.6054444,0.0072,4.606698
0.009936842105263157,4.605387,0.0076,4.606547
0.010105263157894739,4.60548,0.006400000000000001,4.6067333
0.009178947368421052,4.605443,0.006400000000000001,4.6069384
0.009705263157894736,4.605444,0.008,4.606916
0.009515789473684212,4.6054864,0.0076,4.606871
0.009221052631578948,4.6054177,0.0064,4.607257
